id,team,seed,region,round1,round2,round3,round4,round5,round6
0,Duke,1,East,r1c1g1,r2c1g1,r3c1g1,r4c1g1,r5c12g1,r6c1234g1
1,North Dakota State,16,East,r1c1g1,r2c1g1,r3c1g1,r4c1g1,r5c12g1,r6c1234g1
2,VCU,8,East,r1c1g2,r2c1g1,r3c1g1,r4c1g1,r5c12g1,r6c1234g1
3,UCF,9,East,r1c1g2,r2c1g1,r3c1g1,r4c1g1,r5c12g1,r6c1234g1
4,Mississippi State,5,East,r1c1g3,r2c1g2,r3c1g1,r4c1g1,r5c12g1,r6c1234g1
5,Liberty,12,East,r1c1g3,r2c1g2,r3c1g1,r4c1g1,r5c12g1,r6c1234g1
6,Virginia Tech,4,East,r1c1g4,r2c1g2,r3c1g1,r4c1g1,r5c12g1,r6c1234g1
7,Saint Louis,13,East,r1c1g4,r2c1g2,r3c1g1,r4c1g1,r5c12g1,r6c1234g1
8,Maryland,6,East,r1c1g5,r2c1g3,r3c1g2,r4c1g1,r5c12g1,r6c1234g1
9,Belmont,11,East,r1c1g5,r2c1g3,r3c1g2,r4c1g1,r5c12g1,r6c1234g1
10,LSU,3,East,r1c1g6,r2c1g3,r3c1g2,r4c1g1,r5c12g1,r6c1234g1
11,Yale,14,East,r1c1g6,r2c1g3,r3c1g2,r4c1g1,r5c12g1,r6c1234g1
12,Louisville,7,East,r1c1g7,r2c1g4,r3c1g2,r4c1g1,r5c12g1,r6c1234g1
13,Minnesota,10,East,r1c1g7,r2c1g4,r3c1g2,r4c1g1,r5c12g1,r6c1234g1
14,Michigan State,2,East,r1c1g8,r2c1g4,r3c1g2,r4c1g1,r5c12g1,r6c1234g1
15,Bradley,15,East,r1c1g8,r2c1g4,r3c1g2,r4c1g1,r5c12g1,r6c1234g1
16,Gonzaga,1,West,r1c2g1,r2c2g1,r3c2g1,r4c2g1,r5c12g1,r6c1234g1
17,Fairleigh Dickinson,16,West,r1c2g1,r2c2g1,r3c2g1,r4c2g1,r5c12g1,r6c1234g1
18,Syracuse,8,West,r1c2g2,r2c2g1,r3c2g1,r4c2g1,r5c12g1,r6c1234g1
19,Baylor,9,West,r1c2g2,r2c2g1,r3c2g1,r4c2g1,r5c12g1,r6c1234g1
20,Marquette,5,West,r1c2g3,r2c2g2,r3c2g1,r4c2g1,r5c12g1,r6c1234g1
21,Murray State,12,West,r1c2g3,r2c2g2,r3c2g1,r4c2g1,r5c12g1,r6c1234g1
22,Florida State,4,West,r1c2g4,r2c2g2,r3c2g1,r4c2g1,r5c12g1,r6c1234g1
23,Vermont,13,West,r1c2g4,r2c2g2,r3c2g1,r4c2g1,r5c12g1,r6c1234g1
24,Buffalo,6,West,r1c2g5,r2c2g3,r3c2g2,r4c2g1,r5c12g1,r6c1234g1
25,Arizona State,11,West,r1c2g5,r2c2g3,r3c2g2,r4c2g1,r5c12g1,r6c1234g1
26,Texas Tech,3,West,r1c2g6,r2c2g3,r3c2g2,r4c2g1,r5c12g1,r6c1234g1
27,Northern Kentucky,14,West,r1c2g6,r2c2g3,r3c2g2,r4c2g1,r5c12g1,r6c1234g1
28,Nevada,7,West,r1c2g7,r2c2g4,r3c2g2,r4c2g1,r5c12g1,r6c1234g1
29,Florida,10,West,r1c2g7,r2c2g4,r3c2g2,r4c2g1,r5c12g1,r6c1234g1
30,Michigan,2,West,r1c2g8,r2c2g4,r3c2g2,r4c2g1,r5c12g1,r6c1234g1
31,Montana,15,West,r1c2g8,r2c2g4,r3c2g2,r4c2g1,r5c12g1,r6c1234g1
32,UNC,1,Midwest,r1c3g1,r2c3g1,r3c3g1,r4c3g1,r5c34g1,r6c1234g1
33,Iona,16,Midwest,r1c3g1,r2c3g1,r3c3g1,r4c3g1,r5c34g1,r6c1234g1
34,Utah State,8,Midwest,r1c3g2,r2c3g1,r3c3g1,r4c3g1,r5c34g1,r6c1234g1
35,Washington,9,Midwest,r1c3g2,r2c3g1,r3c3g1,r4c3g1,r5c34g1,r6c1234g1
36,Auburn,5,Midwest,r1c3g3,r2c3g2,r3c3g1,r4c3g1,r5c34g1,r6c1234g1
37,New Mexico State,12,Midwest,r1c3g3,r2c3g2,r3c3g1,r4c3g1,r5c34g1,r6c1234g1
38,Kansas,4,Midwest,r1c3g4,r2c3g2,r3c3g1,r4c3g1,r5c34g1,r6c1234g1
39,Northeastern,13,Midwest,r1c3g4,r2c3g2,r3c3g1,r4c3g1,r5c34g1,r6c1234g1
40,Iowa State,6,Midwest,r1c3g5,r2c3g3,r3c3g2,r4c3g1,r5c34g1,r6c1234g1
41,Ohio State,11,Midwest,r1c3g5,r2c3g3,r3c3g2,r4c3g1,r5c34g1,r6c1234g1
42,Houston,3,Midwest,r1c3g6,r2c3g3,r3c3g2,r4c3g1,r5c34g1,r6c1234g1
43,Georgia State,14,Midwest,r1c3g6,r2c3g3,r3c3g2,r4c3g1,r5c34g1,r6c1234g1
44,Wofford,7,Midwest,r1c3g7,r2c3g4,r3c3g2,r4c3g1,r5c34g1,r6c1234g1
45,Seton Hall,10,Midwest,r1c3g7,r2c3g4,r3c3g2,r4c3g1,r5c34g1,r6c1234g1
