game_id,region,teamA_id,teamA,teamB_id,teamB,winner_id,winner
game_0,East,0,Duke,1,North Dakota State,0,Duke
game_1,East,2,VCU,3,UCF,3,UCF
game_2,East,4,Mississippi State,5,Liberty,5,Liberty
game_3,East,6,Virginia Tech,7,Saint Louis,6,Virginia Tech
game_4,East,8,Maryland,9,Belmont,8,Maryland
game_5,East,10,LSU,11,Yale,10,LSU
game_6,East,12,Louisville,13,Minnesota,13,Minnesota
game_7,East,14,Michigan State,15,Bradley,14,Michigan State
game_8,West,16,Gonzaga,17,Fairleigh Dickinson,16,Gonzaga
game_9,West,18,Syracuse,19,Baylor,19,Baylor
game_10,West,20,Marquette,21,Murray State,21,Murray State
game_11,West,22,Florida State,23,Vermont,22,Florida State
game_12,West,24,Buffalo,25,Arizona State,24,Buffalo
game_13,West,26,Texas Tech,27,Northern Kentucky,26,Texas Tech
game_14,West,28,Nevada,29,Florida,29,Florida
game_15,West,30,Michigan,31,Montana,30,Michigan
game_16,South,32,Virginia,33,Gardner-Webb,32,Virginia
game_17,South,34,Ole Miss,35,Oklahoma,35,Oklahoma
game_18,South,36,Wisconsin,37,Oregon,37,Oregon
game_19,South,38,Kansas State,39,UC-Irvine,39,UC-Irvine
game_20,South,40,Villanova,41,Saint Mary's,40,Villanova
game_21,South,42,Purdue,43,Old Dominion,42,Purdue
game_22,South,44,Cincinnati,45,Iowa,45,Iowa
game_23,South,46,Tennessee,47,Colgate,46,Tennessee
game_24,Midwest,48,UNC,49,Iona,48,UNC
game_25,Midwest,50,Utah State,51,Washington,51,Washington
game_26,Midwest,52,Auburn,53,New Mexico State,52,Auburn
game_27,Midwest,54,Kansas,55,Northeastern,54,Kansas
game_28,Midwest,56,Iowa State,57,Ohio State,57,Ohio State
game_29,Midwest,58,Houston,59,Georgia State,58,Houston
game_30,Midwest,60,Wofford,61,Seton Hall,60,Wofford
game_31,Midwest,62,Kentucky,63,Abilene Christian,62,Kentucky
game_32,East,0,Duke,3,UCF,0,Duke
game_33,East,5,Liberty,6,Virginia Tech,6,Virginia Tech
game_34,East,8,Maryland,10,LSU,10,LSU
game_35,East,13,Minnesota,14,Michigan State,14,Michigan State
game_36,West,16,Gonzaga,19,Baylor,16,Gonzaga
game_37,West,21,Murray State,22,Florida State,22,Florida State
game_38,West,24,Buffalo,26,Texas Tech,26,Texas Tech
game_39,West,29,Florida,30,Michigan,30,Michigan
game_40,South,32,Virginia,35,Oklahoma,32,Virginia
game_41,South,37,Oregon,39,UC-Irvine,37,Oregon
game_42,South,40,Villanova,42,Purdue,42,Purdue
game_43,South,45,Iowa,46,Tennessee,46,Tennessee
game_44,Midwest,48,UNC,51,Washington,48,UNC
game_45,Midwest,52,Auburn,54,Kansas,52,Auburn
game_46,Midwest,57,Ohio State,58,Houston,58,Houston
game_47,Midwest,60,Wofford,62,Kentucky,62,Kentucky
game_48,East,0,Duke,6,Virginia Tech,,
game_49,East,10,LSU,14,Michigan State,,
game_50,West,16,Gonzaga,22,Florida State,,
game_51,West,26,Texas Tech,30,Michigan,,
game_52,South,32,Virginia,37,Oregon,,
game_53,South,42,Purdue,46,Tennessee,,
game_54,Midwest,48,UNC,52,Auburn,,
game_55,Midwest,58,Houston,62,Kentucky,,
game_56,East,,,,,,
game_57,West,,,,,,
game_58,South,,,,,,
game_59,Midwest,,,,,,
game_60,East_West,,,,,,
game_61,South_Midwest,,,,,,
game_62,East_West_South_Midwest,,,,,,
