id,region,teamA_id,teamA,teamB_id,teamB,winner_id,winner
game_0,East,0,Duke,1,North Dakota State,,
game_1,East,2,VCU,3,UCF,,
game_2,East,4,Mississippi State,5,Liberty,,
game_3,East,6,Virginia Tech,7,Saint Louis,,
game_4,East,8,Maryland,9,Belmont,,
game_5,East,10,LSU,11,Yale,,
game_6,East,12,Louisville,13,Minnesota,,
game_7,East,14,Michigan State,15,Bradley,,
game_8,West,16,Gonzaga,17,Fairleigh Dickinson,,
game_9,West,18,Syracuse,19,Baylor,,
game_10,West,20,Marquette,21,Murray State,,
game_11,West,22,Florida State,23,Vermont,,
game_12,West,24,Buffalo,25,Arizona State,,
game_13,West,26,Texas Tech,27,Northern Kentucky,,
game_14,West,28,Nevada,29,Florida,,
game_15,West,30,Michigan,31,Montana,,
game_16,South,32,Virginia,33,Gardner-Webb,,
game_17,South,34,Ole Miss,35,Oklahoma,,
game_18,South,36,Wisconsin,37,Oregon,,
game_19,South,38,Kansas State,39,UC-Irvine,,
game_20,South,40,Villanova,41,Saint Mary's,,
game_21,South,42,Purdue,43,Old Dominion,,
game_22,South,44,Cincinnati,45,Iowa,,
game_23,South,46,Tennessee,47,Colgate,,
game_24,Midwest,48,UNC,49,Iona,,
game_25,Midwest,50,Utah State,51,Washington,,
game_26,Midwest,52,Auburn,53,New Mexico State,,
game_27,Midwest,54,Kansas,55,Northeastern,,
game_28,Midwest,56,Iowa State,57,Ohio State,,
game_29,Midwest,58,Houston,59,Georgia State,,
game_30,Midwest,60,Wofford,61,Seton Hall,,
game_31,Midwest,62,Kentucky,63,Abilene Christian,,
game_32,East,,,,,,
game_33,East,,,,,,
game_34,East,,,,,,
game_35,East,,,,,,
game_36,West,,,,,,
game_37,West,,,,,,
game_38,West,,,,,,
game_39,West,,,,,,
game_40,South,,,,,,
game_41,South,,,,,,
game_42,South,,,,,,
game_43,South,,,,,,
game_44,Midwest,,,,,,
game_45,Midwest,,,,,,
game_46,Midwest,,,,,,
game_47,Midwest,,,,,,
game_48,East,,,,,,
game_49,East,,,,,,
game_50,West,,,,,,
game_51,West,,,,,,
game_52,South,,,,,,
game_53,South,,,,,,
game_54,Midwest,,,,,,
game_55,Midwest,,,,,,
game_56,East,,,,,,
game_57,West,,,,,,
game_58,South,,,,,,
game_59,Midwest,,,,,,
game_60,East_West,,,,,,
game_61,South_Midwest,,,,,,
game_62,East_West_South_Midwest,,,,,,
