"value","count","percent"
15,2,2e-05
16,3,3e-05
17,12,0.00012
18,13,0.00013
19,20,2e-04
20,30,3e-04
21,67,0.00067
22,79,0.00079
23,135,0.00135
24,206,0.00206
25,284,0.00284
26,414,0.00414
27,423,0.00423
28,609,0.00609
29,810,0.0081
30,1048,0.01048
31,1099,0.01099
32,1261,0.01261
33,1654,0.01654
34,1875,0.01875
35,2175,0.02175
36,2594,0.02594
37,2846,0.02846
38,3341,0.03341
39,3738,0.03738
40,3981,0.03981
41,4357,0.04357
42,4996,0.04996
43,5318,0.05318
44,5769,0.05769
45,6528,0.06528
46,6983,0.06983
47,7515,0.07515
48,8025,0.08025
49,8703,0.08703
50,9345,0.09345
51,9914,0.09914
52,10380,0.1038
53,10959,0.10959
54,11631,0.11631
55,12062,0.12062
56,12902,0.12902
57,13089,0.13089
58,13470,0.1347
59,13931,0.13931
60,13881,0.13881
61,14444,0.14444
62,14974,0.14974
63,15236,0.15236
64,15420,0.1542
65,15893,0.15893
66,16260,0.1626
67,17085,0.17085
68,17601,0.17601
69,17893,0.17893
70,18219,0.18219
71,18877,0.18877
72,19766,0.19766
73,20143,0.20143
74,20729,0.20729
75,21793,0.21793
76,22447,0.22447
77,23473,0.23473
78,24297,0.24297
79,25087,0.25087
80,25868,0.25868
81,27395,0.27395
82,28389,0.28389
83,29283,0.29283
84,30881,0.30881
85,31546,0.31546
86,32665,0.32665
87,33542,0.33542
88,33954,0.33954
89,35047,0.35047
90,35618,0.35618
91,36544,0.36544
92,37004,0.37004
93,37634,0.37634
94,38317,0.38317
95,38349,0.38349
96,39061,0.39061
97,39619,0.39619
98,40504,0.40504
99,40642,0.40642
100,41422,0.41422
101,41143,0.41143
102,41750,0.4175
103,41805,0.41805
104,42199,0.42199
105,42302,0.42302
106,42498,0.42498
107,42915,0.42915
108,43047,0.43047
109,43152,0.43152
110,44504,0.44504
111,44527,0.44527
112,45743,0.45743
113,46881,0.46881
114,48371,0.48371
115,49981,0.49981
116,51998,0.51998
117,53551,0.53551
118,55219,0.55219
119,56883,0.56883
120,58704,0.58704
121,60954,0.60954
122,63416,0.63416
123,65734,0.65734
124,68013,0.68013
125,70171,0.70171
126,72489,0.72489
127,74265,0.74265
128,77372,0.77372
129,80235,0.80235
130,83368,0.83368
131,85984,0.85984
132,89327,0.89327
133,93445,0.93445
134,96585,0.96585
135,101105,1.01105
136,105137,1.05137
137,109943,1.09943
138,115351,1.15351
139,120675,1.20675
140,127521,1.27521
141,133089,1.33089
142,140954,1.40954
143,147533,1.47533
144,154985,1.54985
145,160822,1.60822
146,167698,1.67698
147,175604,1.75604
148,181326,1.81326
149,186561,1.86561
150,191164,1.91164
151,197955,1.97955
152,202263,2.02263
153,207348,2.07348
154,210363,2.10363
155,212076,2.12076
156,214617,2.14617
157,216985,2.16985
158,216925,2.16925
159,218301,2.18301
160,216587,2.16587
161,215297,2.15297
162,209473,2.09473
163,204275,2.04275
164,196317,1.96317
165,187521,1.87521
166,177169,1.77169
167,164557,1.64557
168,150512,1.50512
169,135235,1.35235
170,119618,1.19618
171,103141,1.03141
172,86688,0.86688
173,73501,0.73501
174,58658,0.58658
175,46084,0.46084
176,36110,0.3611
177,25524,0.25524
178,18695,0.18695
179,11875,0.11875
180,7672,0.07672
181,4621,0.04621
182,2450,0.0245
183,1220,0.0122
184,603,0.00603
185,261,0.00261
186,68,0.00068
187,23,0.00023
188,10,1e-04
189,5,5e-05
