"value","count","percent"
14,1,1e-05
15,8,8e-05
16,10,1e-04
17,37,0.00037
18,84,0.00084
19,178,0.00178
20,498,0.00498
21,1120,0.0112
22,2075,0.02075
23,4157,0.04157
24,7616,0.07616
25,14020,0.1402
26,24054,0.24054
27,39254,0.39254
28,62294,0.62294
29,96371,0.96371
30,142455,1.42455
31,201712,2.01712
32,275445,2.75445
33,359169,3.59169
34,454797,4.54797
35,552474,5.52474
36,643352,6.43352
37,722674,7.22674
38,778502,7.78502
39,809533,8.09533
40,807544,8.07544
41,771787,7.71787
42,705728,7.05728
43,618527,6.18527
44,519293,5.19293
45,418589,4.18589
46,320481,3.20481
47,232626,2.32626
48,161459,1.61459
49,105994,1.05994
50,66258,0.66258
51,38549,0.38549
52,21294,0.21294
53,10812,0.10812
54,5423,0.05423
55,2237,0.02237
56,1001,0.01001
57,365,0.00365
58,95,0.00095
59,33,0.00033
60,10,1e-04
61,5,5e-05
